topic,time_ns
Baseline,2137500
Lotus,8097250
Baseline,2292625
Lotus,8093084
Baseline,1925541
Lotus,6757625
Baseline,1617625
Lotus,15893791
Baseline,1963750
Lotus,7595750
Baseline,1695792
Lotus,6105292
Baseline,1884292
Lotus,7199083
Baseline,1817750
Lotus,6482542
Baseline,1789541
Lotus,8045625
Baseline,2782542
Lotus,7709208
Baseline,2654750
Lotus,8364542
Baseline,2077167
Lotus,9109333
Baseline,1907584
Lotus,7659084
Baseline,2315000
Lotus,8847667
Baseline,1804750
Lotus,6433167
Baseline,2208000
Lotus,6848750
Baseline,2120500
Lotus,7091958
Baseline,2620333
Lotus,9375250
Baseline,2238292
Lotus,7891542
Baseline,2967000
Lotus,8063583
Baseline,1937125
Lotus,7258292
Baseline,1742625
Lotus,7211250
Baseline,2317250
Lotus,8190666
Baseline,2089375
Lotus,6725833
Baseline,1812958
Lotus,6816125
Baseline,1857125
Lotus,6524834
Baseline,2389166
Lotus,7462875
Baseline,2296958
Lotus,7142166
Baseline,2013667
Lotus,7996334
Baseline,1181917
Lotus,7191042
Baseline,1286833
Lotus,6102625
Baseline,1173750
Lotus,5766167
Baseline,2217958
Lotus,7213167
Baseline,1855042
Lotus,6186958
Baseline,2578209
Lotus,7990000
Baseline,1898917
Lotus,7223250
Baseline,1668791
Lotus,6363375
Baseline,1738458
Lotus,6525833
Baseline,2069417
Lotus,6388208
Baseline,2559666
Lotus,8711500
Baseline,2041125
Lotus,6465333
Baseline,2384000
Lotus,8845209
Baseline,1808875
Lotus,7182750
Baseline,1559667
Lotus,6043125
Baseline,2594375
Lotus,8873208
Baseline,1862583
Lotus,7586458
Baseline,2821792
Lotus,11158375
Baseline,1809834
Lotus,6703959
Baseline,1776459
Lotus,8353125
Baseline,2142041
Lotus,7734791
Baseline,2000416
Lotus,7203291
Baseline,1803292
Lotus,6259459
Baseline,2031792
Lotus,7169375
Baseline,2257542
Lotus,7547959
Baseline,1620875
Lotus,7792917
Baseline,1978459
Lotus,6460417
Baseline,2033750
Lotus,8052542
Baseline,2347417
Lotus,7496167
Baseline,1563375
Lotus,6942334
Baseline,2199959
Lotus,6539500
Baseline,2282000
Lotus,7198125
Baseline,1861333
Lotus,6117833
Baseline,1967208
Lotus,7565375
Baseline,2450500
Lotus,7774500
Baseline,2013958
Lotus,7685375
Baseline,1743875
Lotus,7022750
Baseline,894167
Lotus,5815750
Baseline,1222916
Lotus,5526083
Baseline,1555250
Lotus,6568458
Baseline,1584458
Lotus,8383458
Baseline,2902709
Lotus,10782750
Baseline,1371750
Lotus,5840542
Baseline,2593208
Lotus,8634041
Baseline,2340500
Lotus,6847875
Baseline,1931458
Lotus,7723750
Baseline,1896625
Lotus,6646542
Baseline,1889000
Lotus,7895209
Baseline,2101458
Lotus,8785125
Baseline,2218500
Lotus,11150417
Baseline,1813208
Lotus,8201625
Baseline,1506500
Lotus,6587834
Baseline,2149208
Lotus,9253875
Baseline,2019542
Lotus,6430875
Baseline,1844833
Lotus,7435250
Baseline,1935875
Lotus,7235750
Baseline,2489208
Lotus,8136583
Baseline,2054416
Lotus,6764083
Baseline,2157083
Lotus,7086458
Baseline,1583833
Lotus,8647083
Baseline,2061292
Lotus,6736875
Baseline,2150583
Lotus,8251583
Baseline,2019000
Lotus,8265875
Baseline,1604209
Lotus,19522917
Baseline,1957708
Lotus,9904416
Baseline,1080959
Lotus,5368334
Baseline,2411917
Lotus,8333375
Baseline,2312083
Lotus,8686833
Baseline,948375
Lotus,5846209
Baseline,1347209
Lotus,7113625
Baseline,1777583
Lotus,6929750
Baseline,1324000
Lotus,7056125
Baseline,2802250
Lotus,9607542
Baseline,1919250
Lotus,7210250
Baseline,1957041
Lotus,8958875
Baseline,1723125
Lotus,6605542
Baseline,1550666
Lotus,6961083
Baseline,1936958
Lotus,7764833
Baseline,1523417
Lotus,6234917
Baseline,868500
Lotus,6368375
Baseline,1129875
Lotus,5946708
Baseline,1992958
Lotus,7473458
Baseline,1788583
Lotus,6213666
Baseline,1451500
Lotus,6659500
Baseline,1442375
Lotus,7093125
Baseline,1621708
Lotus,7701375
Baseline,2822958
Lotus,8921375
Baseline,1434083
Lotus,6494291
Baseline,2297250
Lotus,8808667
Baseline,1745709
Lotus,6497209
Baseline,1814291
Lotus,7900875
Baseline,2328041
Lotus,13440208
Baseline,2413084
Lotus,7419084
Baseline,1774542
Lotus,6901250
Baseline,2465833
Lotus,8641875
Baseline,1863250
Lotus,7820667
Baseline,2292917
Lotus,8680125
Baseline,1285042
Lotus,5523208
Baseline,2255291
Lotus,20464541
Baseline,1578834
Lotus,5900542
Baseline,2179208
Lotus,9995833
Baseline,2191833
Lotus,8083375
Baseline,2140833
Lotus,8336042
Baseline,1646083
Lotus,6235292
Baseline,2859083
Lotus,9432916
Baseline,1844166
Lotus,6729250
Baseline,2592583
Lotus,10184875
Baseline,2806416
Lotus,7644666
Baseline,2318333
Lotus,7616333
Baseline,1970042
Lotus,7338333
Baseline,2503583
Lotus,8385875
Baseline,1331417
Lotus,6877834
Baseline,2695208
Lotus,9712458
Baseline,1964875
Lotus,8458583
Baseline,2408542
Lotus,9262792
Baseline,1795250
Lotus,8606459
Baseline,1624250
Lotus,6607416
Baseline,1550083
Lotus,5962250
Baseline,2237334
Lotus,7583459
Baseline,2221959
Lotus,8381375
Baseline,2440667
Lotus,7391334
Baseline,11284584
Lotus,16316875
Baseline,2946375
Lotus,8857750
Baseline,2023000
Lotus,6717708
Baseline,2984875
Lotus,8683000
Baseline,2132709
Lotus,7408959
Baseline,2136833
Lotus,8949000
Baseline,1832708
Lotus,7125375
Baseline,2197791
Lotus,7937250
Baseline,1418167
Lotus,5937708
Baseline,1859083
Lotus,10631917
Baseline,1912583
Lotus,7953667
Baseline,1487333
Lotus,5749333
Baseline,1983959
Lotus,7160750
Baseline,2185584
Lotus,7683209
Baseline,2009917
Lotus,7280834
Baseline,1586125
