topic,time_ns
Lotus,7169167
Baseline,2496666
Lotus,7662291
Baseline,1782833
Lotus,7014625
Baseline,1049750
Lotus,4924375
Baseline,1333708
Lotus,5818750
Baseline,1430375
Lotus,6848666
Baseline,1179875
Lotus,6511458
Baseline,1166167
Lotus,6187333
Baseline,1613042
Lotus,5554833
Baseline,1074834
Lotus,16900500
Baseline,3233042
Lotus,11326459
Baseline,1827375
Lotus,7237667
Baseline,1983291
Lotus,6641291
Baseline,1120791
Lotus,6030083
Baseline,1056250
Lotus,6765375
Baseline,1097416
Lotus,4605208
Baseline,1026000
Lotus,4974041
Baseline,1541834
Lotus,6520334
Baseline,1563291
Lotus,5594083
Baseline,1007041
Lotus,6486125
Baseline,1805042
Lotus,6392375
Baseline,983250
Lotus,4529291
Baseline,996750
Lotus,4772625
Baseline,1394833
Lotus,7130625
Baseline,1239792
Lotus,7230375
Baseline,1597125
Lotus,8369709
Baseline,1634208
Lotus,6960541
Baseline,1939292
Lotus,8178375
Baseline,2077750
Lotus,7298291
Baseline,1635000
Lotus,6449833
Baseline,1857083
Lotus,7694125
Baseline,1726667
Lotus,6684042
Baseline,2626167
Lotus,8124125
Baseline,1141292
Lotus,4484750
Baseline,1282292
Lotus,5323625
Baseline,1794792
Lotus,7059125
Baseline,1348459
Lotus,6187375
Baseline,1115959
Lotus,4907584
Baseline,1231875
Lotus,9241250
Baseline,2562042
Lotus,8169167
Baseline,1736542
Lotus,6289459
Baseline,2095959
Lotus,7992167
Baseline,1966667
Lotus,8585667
Baseline,1787292
Lotus,8029250
Baseline,2574708
Lotus,8775166
Baseline,1942333
Lotus,7210417
Baseline,3307625
Lotus,9484000
Baseline,1099583
Lotus,7868167
Baseline,1460042
Lotus,6261083
Baseline,991125
Lotus,6258083
Baseline,1304667
Lotus,6836292
Baseline,1330375
Lotus,5573666
Baseline,1036875
Lotus,6748500
Baseline,1545291
Lotus,7838750
Baseline,1109334
Lotus,6822959
Baseline,1029708
Lotus,6523958
Baseline,1026917
Lotus,5497625
Baseline,1028709
Lotus,6897209
Baseline,1300167
Lotus,6294417
Baseline,1886375
Lotus,6847833
Baseline,2091792
Lotus,8384083
Baseline,1770375
Lotus,7144750
Baseline,1591834
Lotus,5820125
Baseline,1575625
Lotus,7931375
Baseline,2779167
Lotus,8057042
Baseline,1096417
Lotus,6822875
Baseline,1132083
Lotus,5408500
Baseline,1030125
Lotus,5386042
Baseline,1150125
Lotus,5481708
Baseline,1177917
Lotus,6958708
Baseline,1329500
Lotus,6140000
Baseline,1398000
Lotus,6699959
Baseline,1215416
Lotus,5666041
Baseline,1435167
Lotus,5788125
Baseline,1990541
Lotus,7611333
Baseline,1886375
Lotus,9427166
Baseline,1646750
Lotus,8303833
Baseline,1813708
Lotus,7630833
Baseline,1628833
Lotus,6284917
Baseline,1032166
Lotus,4541541
Baseline,1731792
Lotus,6207667
Baseline,1161834
Lotus,5924375
Baseline,1085125
Lotus,5860125
Baseline,1384917
Lotus,5893375
Baseline,1788875
Lotus,8560375
Baseline,2318958
Lotus,7695041
Baseline,1008584
Lotus,6549250
Baseline,1164750
Lotus,6801792
Baseline,1570584
Lotus,7849875
Baseline,1746792
Lotus,10823083
Baseline,1901500
Lotus,7553333
Baseline,3831042
Lotus,9431500
Baseline,1965417
Lotus,7478042
Baseline,1981833
Lotus,8692083
Baseline,1637250
Lotus,8135792
Baseline,1598250
Lotus,7648750
Baseline,1285375
Lotus,8403583
Baseline,1598208
Lotus,6746125
Baseline,2646834
Lotus,13808209
Baseline,848542
Lotus,4586375
Baseline,1375375
Lotus,5604125
Baseline,1475000
Lotus,7898042
Baseline,2061416
Lotus,7215375
Baseline,1715667
Lotus,7189125
Baseline,2025583
Lotus,6176125
Baseline,1792458
Lotus,7337791
Baseline,2223625
Lotus,7858250
Baseline,2399750
Lotus,8589500
Baseline,46095084
Lotus,51211792
Baseline,1973666
Lotus,8554458
Baseline,2026125
Lotus,8642208
Baseline,1710000
Lotus,6949416
Baseline,1744042
Lotus,9178292
Baseline,1437500
Lotus,7863583
Baseline,1405083
Lotus,6459583
Baseline,1571916
Lotus,7847208
Baseline,1510333
Lotus,7671041
Baseline,1883250
Lotus,7598000
Baseline,2625167
Lotus,8947334
Baseline,1746291
Lotus,7785375
Baseline,2949167
Lotus,8562834
Baseline,2435083
Lotus,8251208
Baseline,2400625
Lotus,8383500
Baseline,2047166
Lotus,8478208
Baseline,977750
Lotus,4404625
Baseline,1672458
Lotus,7025041
Baseline,1194250
Lotus,8062084
Baseline,1313584
Lotus,5610625
Baseline,1671334
Lotus,8676542
Baseline,2138666
Lotus,6291708
Baseline,2797250
Lotus,10543375
Baseline,2470667
Lotus,7717958
