topic,time_ns
Lotus,9279667
Baseline,2541667
Lotus,7197167
Baseline,2786125
Lotus,7590750
Baseline,2361875
Lotus,7391750
Baseline,1891167
Lotus,7496875
Baseline,3164583
Lotus,9070042
Baseline,2297625
Lotus,6686875
Baseline,2538458
Lotus,8076208
Baseline,2679708
Lotus,8602458
Baseline,2081291
Lotus,7472958
Baseline,1957792
Lotus,7113834
Baseline,1553792
Lotus,6588958
Baseline,2354042
Lotus,7516208
Baseline,2921167
Lotus,7766375
Baseline,1383417
Lotus,6417000
Baseline,2519041
Lotus,7089541
Baseline,2452125
Lotus,7894709
Baseline,2377666
Lotus,7638541
Baseline,2153750
Lotus,6999750
Baseline,2761834
Lotus,7990292
Baseline,2294333
Lotus,7425416
Baseline,2727541
Lotus,8040708
Baseline,3577666
Lotus,7874208
Baseline,2007166
Lotus,6443666
Baseline,1169250
Lotus,4402584
Baseline,991250
Lotus,4279791
Baseline,1234584
Lotus,6477000
Baseline,2660875
Lotus,9822625
Baseline,1727375
Lotus,6038709
Baseline,2647875
Lotus,8337542
Baseline,3126708
Lotus,7756125
Baseline,2420667
Lotus,7698250
Baseline,1475500
Lotus,6957666
Baseline,1239792
Lotus,4399084
Baseline,1834167
Lotus,6262625
Baseline,2477625
Lotus,8909375
Baseline,2219375
Lotus,6233208
Baseline,2349334
Lotus,7768667
Baseline,2362625
Lotus,7519500
Baseline,2408875
Lotus,8078875
Baseline,2234583
Lotus,7678917
Baseline,1604584
Lotus,6960209
Baseline,2275000
Lotus,7478167
Baseline,2722458
Lotus,8576083
Baseline,1592708
Lotus,5885625
Baseline,3052417
Lotus,8493167
Baseline,4466500
Lotus,12082708
Baseline,1731708
Lotus,6427583
Baseline,1566833
Lotus,7539083
Baseline,1959041
Lotus,7616250
Baseline,2245334
Lotus,11757000
Baseline,2280333
Lotus,7247500
Baseline,1887125
Lotus,6659416
Baseline,2378750
Lotus,8217208
Baseline,1949875
Lotus,6973333
Baseline,2100875
Lotus,7308833
Baseline,2168458
Lotus,7394041
Baseline,2673584
Lotus,7827459
Baseline,1162834
Lotus,5425917
Baseline,1516042
Lotus,6671209
Baseline,1522333
Lotus,5256667
Baseline,1501792
Lotus,5510208
Baseline,1309125
Lotus,6278375
Baseline,2544542
Lotus,9363333
Baseline,3386459
Lotus,8158834
Baseline,2194917
Lotus,7299584
Baseline,1615042
Lotus,6809042
Baseline,2284625
Lotus,7806833
Baseline,1833792
Lotus,6124750
Baseline,2440334
Lotus,8285875
Baseline,1068542
Lotus,5388542
Baseline,1374125
Lotus,6741542
Baseline,2070208
Lotus,8016000
Baseline,2797166
Lotus,8605875
Baseline,1836833
Lotus,6024708
Baseline,2623041
Lotus,13547250
Baseline,1860000
Lotus,7310625
Baseline,2432083
Lotus,8967916
Baseline,2079167
Lotus,7960375
Baseline,2157875
Lotus,7505208
Baseline,1853375
Lotus,6502083
Baseline,3181334
Lotus,7878959
Baseline,1434375
Lotus,5664125
Baseline,2353458
Lotus,12705542
Baseline,1917667
Lotus,6956042
Baseline,2056834
Lotus,6696959
Baseline,2439417
Lotus,8093042
Baseline,2445209
Lotus,9568084
Baseline,2756333
Lotus,11639375
Baseline,2028833
Lotus,6475000
Baseline,2013250
Lotus,7030000
Baseline,2247958
Lotus,8178416
Baseline,2569459
Lotus,7954750
Baseline,2210167
Lotus,6685250
Baseline,1723958
Lotus,7113500
Baseline,2846875
Lotus,8174500
Baseline,1551792
Lotus,6364958
Baseline,1868417
Lotus,7234208
Baseline,2502417
Lotus,6995375
Baseline,1697583
Lotus,5641708
Baseline,1958083
Lotus,6236541
Baseline,2371958
Lotus,7450292
Baseline,2428958
Lotus,7302708
Baseline,2157458
Lotus,7711625
Baseline,1784666
Lotus,7082291
Baseline,2525542
Lotus,9113250
Baseline,1031584
Lotus,4623084
Baseline,1421458
Lotus,5661333
Baseline,2064583
Lotus,6775583
Baseline,2390250
Lotus,7453708
Baseline,1465875
Lotus,6213375
Baseline,2070167
Lotus,6935292
Baseline,2138334
Lotus,7791209
Baseline,1792125
Lotus,6840708
Baseline,1963958
Lotus,8472375
Baseline,2583292
Lotus,8110125
Baseline,2674292
Lotus,6983167
Baseline,2681208
Lotus,8743083
Baseline,1316750
Lotus,6653875
Baseline,2199792
Lotus,7417167
Baseline,1757416
Lotus,6240291
Baseline,2129500
Lotus,6852042
Baseline,2472000
Lotus,8185708
Baseline,2012834
Lotus,8243334
Baseline,1881125
Lotus,6065750
Baseline,2406500
Lotus,8319000
Baseline,2132917
Lotus,7669000
Baseline,2461584
Lotus,7710250
Baseline,2388959
Lotus,7738500
Baseline,3330083
Lotus,9019666
Baseline,1965334
Lotus,6274250
Baseline,2502917
Lotus,8733875
Baseline,2105875
Lotus,7448584
Baseline,2839417
Lotus,8295542
Baseline,2049667
Lotus,8312959
Baseline,2164667
Lotus,8527542
Baseline,3673125
Lotus,9442000
Baseline,1485708
Lotus,6046541
Baseline,1232167
Lotus,4971000
Baseline,2115083
Lotus,8285500
Baseline,2324375
Lotus,39310917
Baseline,1438167
Lotus,5841417
Baseline,1810083
Lotus,6439125
Baseline,1981958
Lotus,6203958
Baseline,2279500
Lotus,6172875
Baseline,2460458
Lotus,7467625
Baseline,2363000
Lotus,6736667
Baseline,2092750
Lotus,6710750
Baseline,1973125
Lotus,6516084
Baseline,2485667
Lotus,8269167
Baseline,2404792
Lotus,7253000
Baseline,2351958
Lotus,8102542
Baseline,2442375
Lotus,7144792
Baseline,5381834
Lotus,10423084
Baseline,1394500
Lotus,5369625
Baseline,2108000
Lotus,7045542
Baseline,1467917
Lotus,5712792
Baseline,2637500
Lotus,7621208
Baseline,2504000
Lotus,8299667
Baseline,2370500
Lotus,8226667
Baseline,2419333
Lotus,7385291
Baseline,2417000
Lotus,8199042
Baseline,2236791
Lotus,7240375
Baseline,2008709
Lotus,6538250
Baseline,1986291
Lotus,7119833
Baseline,2203166
Lotus,7248291
Baseline,1701208
Lotus,5802458
Baseline,1727292
Lotus,6253292
Baseline,2032333
Lotus,6055958
Baseline,2230542
Lotus,7997667
Baseline,2150583
Lotus,6262083
Baseline,2138625
Lotus,11055709
Baseline,1631500
Lotus,7993709
Baseline,1498083
Lotus,5716791
Baseline,2108792
Lotus,7867709
Baseline,1699125
Lotus,10755875
Baseline,2460292
Lotus,7423542
Baseline,1800959
Lotus,7713625
Baseline,2257250
Lotus,6982334
Baseline,2134167
Lotus,6825958
Baseline,2617292
Lotus,7407042
Baseline,2191500
Lotus,7829292
Baseline,2390583
Lotus,8004875
Baseline,2304958
Lotus,8459208
Baseline,2455917
Lotus,6963209
Baseline,2380834
Lotus,7677625
Baseline,1300708
Lotus,4718958
Baseline,1816625
Lotus,7169833
Baseline,2449625
Lotus,7234042
Baseline,896084
Lotus,3784500
Baseline,1178959
Lotus,5631125
Baseline,2343583
Lotus,8491416
Baseline,2238875
Lotus,7235833
Baseline,3318333
Lotus,8653208
Baseline,1559750
Lotus,6896291
Baseline,2474833
Lotus,7787417
Baseline,1914958
Lotus,6622000
Baseline,2958458
Lotus,7427541
Baseline,1808000
Lotus,13031125
Baseline,10517833
Lotus,27185791
Baseline,7226458
Lotus,36340375
Baseline,3341875
Lotus,16293584
Baseline,1821791
Lotus,6653250
Baseline,1620834
Lotus,5934709
Baseline,4344084
Lotus,9694417
Baseline,1612208
Lotus,9615916
Baseline,4878791
Lotus,21417083
Baseline,15241750
Lotus,22380958
Baseline,1966042
Lotus,8409792
Baseline,3746625
Lotus,11100834
Baseline,77669209
Lotus,85487584
Baseline,2294875
Lotus,10592666
Baseline,1775583
Lotus,7272750
Baseline,2330500
Lotus,8045459
Baseline,8202250
Lotus,15000375
Baseline,3214750
Lotus,7189792
Baseline,1520209
Lotus,5718834
Baseline,1114375
Lotus,6909667
Baseline,1504125
Lotus,5893708
Baseline,7688333
Lotus,17830625
Baseline,2434250
Lotus,9908958
Baseline,2239959
Lotus,8086250
Baseline,2835958
Lotus,10853875
Baseline,2629375
Lotus,8991292
Baseline,3291417
Lotus,11275542
Baseline,1840625
Lotus,6847375
Baseline,3034167
Lotus,13833167
Baseline,2903834
Lotus,11653625
Baseline,2967625
Lotus,9466709
Baseline,3204542
Lotus,12954875
Baseline,8903667
Lotus,16460917
Baseline,4872584
Lotus,11616584
Baseline,2619250
Lotus,12266875
Baseline,1020667
Lotus,4421167
Baseline,3656083
Lotus,11461417
Baseline,1759333
Lotus,10783375
Baseline,4740334
Lotus,13013000
Baseline,2477334
Lotus,7766084
Baseline,4380500
Lotus,11573291
Baseline,3092834
Lotus,11641167
Baseline,2937167
Lotus,9801167
Baseline,2961958
Lotus,11074250
Baseline,6145375
Lotus,14123333
Baseline,2964875
Lotus,10685250
Baseline,1674791
Lotus,5563208
Baseline,3686500
Lotus,13161125
Baseline,3454792
Lotus,10386625
Baseline,2554083
Lotus,12812750
Baseline,4735750
Lotus,13037417
Baseline,2994333
Lotus,10469833
Baseline,1874208
Lotus,7006667
Baseline,2634500
Lotus,10091542
Baseline,1959458
Lotus,9524000
Baseline,2354375
Lotus,11863250
Baseline,2724959
Lotus,12850042
Baseline,3091584
Lotus,11573334
Baseline,2353041
Lotus,18633833
Baseline,1578459
Lotus,5264417
Baseline,2557792
Lotus,9341792
Baseline,2855291
Lotus,11616958
Baseline,1640875
Lotus,7403500
Baseline,2398750
Lotus,9102583
Baseline,2233667
Lotus,12526833
Baseline,1102083
Lotus,5153125
Baseline,1329500
Lotus,5971750
Baseline,1453250
Lotus,7684125
Baseline,2973833
Lotus,7477667
Baseline,1978250
Lotus,6962750
Baseline,1813041
Lotus,10711750
Baseline,915916
Lotus,4144208
Baseline,1041167
Lotus,4308709
Baseline,1266041
Lotus,5942250
Baseline,1141042
Lotus,4680000
Baseline,1100167
Lotus,6028542
Baseline,1379792
Lotus,5029500
Baseline,2219667
Lotus,7289334
Baseline,2448291
Lotus,8420666
Baseline,3232792
Lotus,9117042
Baseline,1438625
Lotus,5698541
Baseline,1289834
Lotus,6897834
Baseline,2915167
Lotus,7813042
Baseline,2275583
Lotus,7011833
Baseline,2413208
Lotus,10251417
Baseline,2430875
Lotus,6810916
Baseline,2594333
Lotus,8105542
Baseline,1208625
Lotus,5825167
Baseline,1954000
Lotus,6719334
Baseline,1336083
Lotus,7559167
Baseline,2296375
Lotus,8863375
Baseline,1736583
Lotus,7540208
Baseline,1963125
Lotus,6778792
Baseline,2255417
Lotus,8754708
Baseline,1389625
Lotus,6345625
Baseline,1732917
Lotus,6025875
Baseline,2774042
Lotus,9104000
Baseline,1527000
Lotus,8386791
Baseline,2537084
Lotus,7681834
Baseline,1500333
Lotus,8175041
Baseline,2470083
Lotus,8665542
Baseline,1861500
Lotus,7023667
Baseline,1985583
Lotus,6725166
Baseline,1241750
Lotus,5150958
Baseline,2982417
Lotus,10052833
Baseline,2138125
Lotus,7539083
Baseline,1966834
Lotus,7092000
Baseline,1143833
Lotus,6514875
Baseline,1176459
Lotus,5249667
Baseline,1480875
Lotus,6334042
Baseline,3173541
Lotus,11461833
Baseline,2392000
Lotus,8175291
Baseline,1626500
Lotus,5659875
Baseline,1655750
Lotus,8117583
Baseline,1149209
Lotus,4886250
Baseline,2630291
Lotus,10631625
Baseline,1623750
Lotus,6275917
Baseline,2751917
Lotus,8470833
Baseline,1340333
Lotus,6961083
Baseline,2508750
Lotus,7981875
Baseline,1652417
Lotus,5526708
Baseline,2889375
Lotus,8541250
Baseline,1601209
Lotus,6411667
Baseline,2311125
Lotus,8873292
Baseline,2599417
Lotus,8769750
Baseline,2924500
Lotus,8863625
Baseline,1623125
Lotus,6113167
Baseline,1798291
Lotus,6941958
Baseline,1264875
Lotus,5412042
Baseline,2094583
Lotus,9487083
Baseline,2034166
Lotus,6407000
Baseline,3071500
Lotus,9568584
Baseline,1396375
Lotus,6025458
Baseline,2739167
Lotus,9282459
Baseline,1633250
Lotus,6240667
Baseline,1972083
Lotus,9907708
Baseline,1950333
Lotus,7362708
Baseline,1526375
Lotus,6296250
Baseline,2789375
Lotus,7413541
